order_id,return_date,Category,Sales,Profit,Profit Margin,Margin Category,State,Customer Name,return_quantity,reason_returned
AE-2019-5740368,2020-01-06,Office Supplies,77.26,0.33,0.004271291742169298,Medium,Illinois,Greg Hansen,1,Not Given
AG-2019-3960042,2019-04-24,Office Supplies,130.32,0.0,0.0,Medium,Indiana,Anemone Ratner,1,Not Given
AG-2019-553166,2020-01-04,Office Supplies,92.88,0.1,0.0010766580534022395,Medium,Michigan,Robert Dilbeck,1,Not Needed
AG-2019-5829085,2019-04-18,Office Supplies,130.32,0.0,0.0,Medium,Michigan,Anemone Ratner,1,Not Given
AG-2019-8240,2019-03-23,Office Supplies,130.32,51.84,0.3977900552486188,High,Texas,Anemone Ratner,1,Not Given
AO-2019-1248287,2019-09-16,Office Supplies,328.14,0.05,0.00015237398671298836,Medium,Texas,Gene McClure,1,Not Given
AO-2019-8250,2019-09-25,Office Supplies,274.68,0.0,0.0,Medium,Michigan,Gene McClure,1,Not Given
CA-2019-117947,2019-09-11,Furniture,9.94,3.08,0.3098591549295775,High,Texas,Nat Gilpin,1,Not Needed
CA-2019-117947,2019-09-11,Furniture,9.94,3.08,0.3098591549295775,High,Texas,Nat Gilpin,1,Not Needed
CA-2019-1191233,2019-08-05,Furniture,4416.17,0.24,5.434573397310339e-05,Medium,Minnesota,Tom Prescott,1,Wrong Item
CA-2019-123491,2019-11-16,Office Supplies,43.86,20.61,0.46990424076607384,High,Texas,Jamie Kunitz,1,Not Needed
CA-2019-1310673,2019-12-26,Office Supplies,33.72,0.29,0.00860023724792408,Medium,Indiana,Dean Braden,1,Wrong Item
CA-2019-134194,2020-01-21,Office Supplies,39.58,-59.37,-1.5,Low,Missouri,Guy Armstrong,1,Not Given
CA-2019-1352745,2019-12-23,Technology,474.95,0.19,0.00040004210969575744,Medium,Illinois,Chad McGuire,1,Not Given
CA-2019-1362881,2019-12-13,Office Supplies,13.27,0.1,0.0075357950263752835,Medium,Texas,Jill Fjeld,1,Not Needed
CA-2019-1394232,2019-09-14,Office Supplies,4663.74,0.14,3.0018826092363643e-05,Medium,Texas,Joseph Airdo,1,Not Given
CA-2019-1409205,2019-11-16,Office Supplies,35.0,0.19,0.0054285714285714284,Medium,Oklahoma,Patrick Gardner,1,Not Needed
CA-2019-1428808,2019-04-24,Office Supplies,27.5,0.29,0.010545454545454545,Medium,Texas,Sue Ann Reed,1,Wrong Color
CA-2019-1468767,2019-10-08,Office Supplies,101.84,0.29,0.002847604084838963,Medium,Oklahoma,Neil Knudson,1,Wrong Color
CA-2019-147354,2019-03-23,Office Supplies,30.84,9.64,0.3125810635538262,High,Illinois,Karl Braun,1,Wrong Color
CA-2019-1500740,2019-03-11,Furniture,1526.56,0.33,0.00021617230898228698,Medium,Texas,Justin Deggeller,1,Not Given
